練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
3,11,2025/10/15 23:06,アプリ,誤,AC,,"「アプリの設定」→「フォーム」タブで、「ラジオボタン」フィールドの説明として、誤っているものをすべて選びなさい。","複数選択が可能である。","項目の順番を変更できる。","最大100個までの選択肢を設定できる。","初期値を設定できる。",ラジオボタン,https://jp.cybozu.help/k/ja/id/040535.html,ラジオボタン,https://jp.cybozu.help/k/ja/id/040535.html,ラジオボタン,https://jp.cybozu.help/k/ja/id/040535.html,ラジオボタン,https://jp.cybozu.help/k/ja/id/040535.html,2-2-5 選択肢,2-2-5 選択肢,2-2-5 選択肢,2-2-5 選択肢,2024年10月31日改定
3,12,2025/10/15 23:06,アプリ,誤,B,,"レコードを「ファイルに書き出す」および「ファイルから読み込む」機能の説明として、正しいものを1つ選びなさい。","最大10MB、1,000行、500列までのExcelブック形式のファイルを読み込める。","「ファイルに書き出す」および「ファイルから読み込む」機能について、アクセス権の初期設定では、アプリの作成者だけに許可されている。","「関連レコード」フィールドの値は、書き出し、読み込みができる。","変更履歴はファイルに書き出しできる。",ファイルからレコードのデータをアプリに読み込む,https://jp.cybozu.help/k/ja/id/040724.html,レコードのデータをファイルに書き出す際の注意事項,https://jp.cybozu.help/k/ja/id/040455.html,レコードのデータをファイルに書き出す際の注意事項,https://jp.cybozu.help/k/ja/id/040455.html,レコードのデータをファイルに書き出す際の注意事項,https://jp.cybozu.help/k/ja/id/040455.html,1-6-2 ファイルからのレコード読み込み,3-6-2 アプリのアクセス権,1-6-1 ファイルへのレコード書き出し,1-6-1 ファイルへのレコード書き出し,2024年10月31日改定
3,13,2025/10/15 23:06,アプリ,誤,AB,,"プロセス管理機能を無効にするときの説明として、適切なものをすべて選びなさい。","既存のレコードのステータスやステータスの変更履歴の情報は保持されるが、作業者を条件にして設定しているレコードの絞り込みやアクセス権の設定は削除される。","ほかのアプリのルックアップフィールドの設定で、このアプリのプロセス管理の作業者／ステータスが指定されていると、プロセス管理は無効にできない。","プロセス管理機能を一度無効にすると、再度有効にしても、各レコードは無効にする直前のステータスにはならない。","ほかのアプリの関連レコード一覧フィールドの設定で、このアプリのプロセス管理の作業者／ステータスが指定されていても、プロセス管理機能を無効にできる。",プロセス管理の設定を変更する場合の注意,https://jp.cybozu.help/k/ja/id/040570.html,プロセス管理の設定を変更する場合の注意,https://jp.cybozu.help/k/ja/id/040570.html,プロセス管理の設定を変更する場合の注意,https://jp.cybozu.help/k/ja/id/040570.html,プロセス管理の設定を変更する場合の注意,https://jp.cybozu.help/k/ja/id/040570.html,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,2024年10月31日改定
3,14,2025/10/15 23:06,アプリ,誤,ABC,,"言語ごとの名称を設定できる項目として、正しいものをすべて選びなさい。","グループ内に配置したフィールド","アプリの説明","グラフ名","ラベルフィールド",言語ごとの名称を設定する,https://jp.cybozu.help/k/ja/id/040557.html,言語ごとの名称を設定する,https://jp.cybozu.help/k/ja/id/040557.html,言語ごとの名称を設定する,https://jp.cybozu.help/k/ja/id/040557.html,言語ごとの名称を設定する,https://jp.cybozu.help/k/ja/id/040557.html,3-7-2 言語ごとの名称,3-7-2 言語ごとの名称,3-7-2 言語ごとの名称,3-7-2 言語ごとの名称,2024年10月31日改定
3,15,2025/10/15 23:06,アプリ,誤,AD,,"アプリの説明として、正しいものをすべて選びなさい。","アプリを作成することで、データや業務プロセスを管理できる。","レコード一覧画面では、1つのレコードをあらかじめ設定した任意の行数に渡って表示できる。","データの追加、編集、および削除はフィールドごとに行う。","レコード一覧画面から特定のレコードを開くと、レコード詳細画面を確認できる。",レコードの登録と削除,https://jp.cybozu.help/k/ja/id/040714.html,レコードの登録と削除,https://jp.cybozu.help/k/ja/id/040714.html,レコードの登録と削除,https://jp.cybozu.help/k/ja/id/040714.html,レコードの登録と削除,https://jp.cybozu.help/k/ja/id/040714.html,1-1-2 アプリとは,1-4-2 一覧の作成,1-1-2 アプリとは,1-1-2 アプリとは,2024年10月31日改定
3,16,2025/10/15 23:06,アプリ,誤,BCD,,"Excelファイルからアプリを作成する際の説明として、誤っているものをすべて選びなさい。","最大1MB、1,000行×500列までのExcelファイルを読み込める。","帳簿や伝票のような、複雑なレイアウトの帳票形式のファイルも読み込める。","ブック形式で複数のシートが含まれているファイルの場合、全てのシートが同一の表形式であればまとめて読み込める。","ファイルがパスワードで保護されている場合、作成したアプリもパスワードで保護される。",Excelファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040625.html,Excelファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040625.html,Excelファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040625.html,Excelファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040625.html,1-1-6 方法3：Excelファイルからアプリを作成する,1-1-6 方法3：Excelファイルからアプリを作成する,1-1-6 方法3：Excelファイルからアプリを作成する,1-1-6 方法3：Excelファイルからアプリを作成する,2024年10月31日改定
3,17,2025/10/15 23:06,アプリ,誤,BD,,"グラフ設定と定期レポートの説明として、正しいものをすべて選びなさい。","グラフを削除すると、削除した時点からの定期レポートは閲覧できなくなるが、過去の定期レポートは閲覧できる。","グラフの作成や変更、削除を行うには、アプリの管理権限が必要である。","定期レポートは、グラフの種類に関わらず設定できる。","アクセス権で閲覧が制限されているレコードが集計対象となっている場合でも、定期レポートを閲覧できる。",定期レポートとは,https://jp.cybozu.help/k/ja/id/040582.html,アプリの設定画面からグラフを追加する,https://jp.cybozu.help/k/ja/id/040586.html,定期レポートとは,https://jp.cybozu.help/k/ja/id/040582.html,定期レポートとは,https://jp.cybozu.help/k/ja/id/040582.html,1-5-3 グラフ設定と定期レポート,1-5-3 グラフ設定と定期レポート,1-5-3 グラフ設定と定期レポート,1-5-3 グラフ設定と定期レポート,2024年10月31日改定
3,18,2025/10/15 23:06,アプリ,誤,D,,"家賃に共益費を足した数値を、100円単位になるようにそれ以下の桁を四捨五入したい。（例：1230円 → 1200円）
ROUND関数を使った計算式として、正しいものを1つ選びなさい。","ROUND(家賃+共益費,2)","ROUNDDOWN(家賃+共益費,2)","ROUNDUP(家賃+共益費,-2)","ROUND(家賃+共益費,-2)",四捨五入、切り捨て、切り上げするときの設定の使い分け,https://jp.cybozu.help/k/ja/id/040508.html,四捨五入、切り捨て、切り上げするときの設定の使い分け,https://jp.cybozu.help/k/ja/id/040508.html,四捨五入、切り捨て、切り上げするときの設定の使い分け,https://jp.cybozu.help/k/ja/id/040508.html,四捨五入、切り捨て、切り上げするときの設定の使い分け,https://jp.cybozu.help/k/ja/id/040508.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
3,19,2025/10/15 23:06,アプリ,誤,BD,,"アプリの設定画面で、画面上部に「反映前の変更があります」というバナーが表示されている。
状況の説明として、適切でないものをすべて選びなさい。","設定タブの[アプリの動作テスト]をクリックすると、反映前の変更内容の動作を確認できる。","「フォーム」タブの「フォームを保存」をクリックすると、フォームの内容が運用環境に反映される。","自分が実施した変更だけでなく、他のユーザーの未反映の変更があると表示される。","未反映の設定変更について、最終更新者や日時を確認できる。",アプリの設定内容を反映する,https://jp.cybozu.help/k/ja/id/040473.html#app_settings_app_changesettings_20,アプリの設定内容を反映する,https://jp.cybozu.help/k/ja/id/040473.html#app_settings_app_changesettings_20,アプリの設定内容を反映する,https://jp.cybozu.help/k/ja/id/040473.html#app_settings_app_changesettings_20,アプリの設定内容を反映する,https://jp.cybozu.help/k/ja/id/040473.html#app_settings_app_changesettings_20,2-1-2 フォームの設定,2-1-2 フォームの設定,2-1-2 フォームの設定,2-1-2 フォームの設定,2024年10月31日改定
3,20,2025/10/15 23:06,アプリ,誤,BC,,"「リンク」フィールドの説明として、正しいものをすべて選びなさい。","入力されたWebサイトのアドレスにカーソルを合わせると、リンク先のサムネイルが表示される。","入力された電話番号をクリックすると、Skypeなどが起動して、電話をかけることができる。","入力されたメールアドレスをクリックすると、メールソフトが起動して、メールを送信できる。","入力値に対して、最小文字数と最大文字数を指定できない。",リンク,https://jp.cybozu.help/k/ja/id/040532.html,リンク,https://jp.cybozu.help/k/ja/id/040532.html,リンク,https://jp.cybozu.help/k/ja/id/040532.html,リンク,https://jp.cybozu.help/k/ja/id/040532.html,2-2-8 リンク,2-2-8 リンク,2-2-8 リンク,2-2-8 リンク,2024年10月31日改定
3,21,2025/10/15 23:06,アプリ,誤,D,,"フォームを装飾するフィールドの説明として、適切なものを1つ選びなさい。","「スペース」フィールドのサイズ間隔は、決まっている。","グループ化したフィールドは、常に非表示の状態になる。","「罫線」は線の種類を選択できる。","「ラベル」は表示のみのフィールドで、レコード追加時にデータを入力できない。",kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,2-2-10 表示のみのフィールド,2-2-10 表示のみのフィールド,2-2-10 表示のみのフィールド,2-2-2 ラベル,2024年10月31日改定
3,22,2025/10/15 23:06,アプリ,誤,ABD,,"レコードの一覧画面で編集できるフィールドの種類として、正しいものをすべて選びなさい。","ユーザー選択","リンク","ラベル","文字列（複数行）",レコードの一覧画面でレコードを編集／削除する,https://jp.cybozu.help/k/ja/id/040718.html,レコードの一覧画面でレコードを編集／削除する,https://jp.cybozu.help/k/ja/id/040718.html,レコードの一覧画面でレコードを編集／削除する,https://jp.cybozu.help/k/ja/id/040718.html,レコードの一覧画面でレコードを編集／削除する,https://jp.cybozu.help/k/ja/id/040718.html,1-4-4 一覧でのレコードの編集,1-4-4 一覧でのレコードの編集,1-4-4 一覧でのレコードの編集,1-4-4 一覧でのレコードの編集,2024年10月31日改定
3,23,2025/10/15 23:06,アプリ,誤,ACD,,"レコードの作成、更新時に自動入力されるフィールドの種類として、適切なものをすべて選びなさい。","レコード番号","ラベル","作成者","更新日時",レコード情報を表示するフィールド,https://jp.cybozu.help/k/ja/id/040513.html#form_form_parts_50,レコード情報を表示するフィールド,https://jp.cybozu.help/k/ja/id/040513.html#form_form_parts_50,レコード情報を表示するフィールド,https://jp.cybozu.help/k/ja/id/040513.html#form_form_parts_50,レコード情報を表示するフィールド,https://jp.cybozu.help/k/ja/id/040513.html#form_form_parts_50,2-2-11 自動入力されるフィールド,2-2-2 ラベル,2-2-11 自動入力されるフィールド,2-2-11 自動入力されるフィールド,2024年10月31日改定
3,24,2025/10/15 23:06,アプリ,誤,C,,"数値の計算の説明として、誤っているものを1つ選びなさい。","「計算」フィールド、または「文字列（1行）」フィールドに計算式を設定し、数値の計算をする。","数値の計算式で使用できる演算子は、「+」、「-」、「*」、「/」、「^」である。","ROUND関数や「計算」フィールドの「小数点以下の表示桁数」の設定は、「高度な設定」の「小数部の桁数」よりも優先される。","(フィールドA - 1000) * 2 のような、（）を使った計算ができる。",計算式の設定の流れ,https://jp.cybozu.help/k/ja/id/040509.html#autocalc_set_autocalc_30,計算式の設定の流れ,https://jp.cybozu.help/k/ja/id/040509.html#autocalc_set_autocalc_30,計算式の設定の流れ,https://jp.cybozu.help/k/ja/id/040509.html#autocalc_set_autocalc_30,計算式の設定の流れ,https://jp.cybozu.help/k/ja/id/040509.html#autocalc_set_autocalc_30,2-4-1 計算,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
3,25,2025/10/15 23:06,アプリ,誤,AC,,"アプリアクションで、コピー先に「ルックアップ」フィールドを指定したい。コピー元のフィールドとして、適切なものをすべて選びなさい。","文字列（1行）","文字列（複数行）","数値","ドロップダウン",アプリアクションに設定できるフィールドの組み合わせ,https://jp.cybozu.help/k/ja/id/040486.html,アプリアクションに設定できるフィールドの組み合わせ,https://jp.cybozu.help/k/ja/id/040486.html,アプリアクションに設定できるフィールドの組み合わせ,https://jp.cybozu.help/k/ja/id/040486.html,アプリアクションに設定できるフィールドの組み合わせ,https://jp.cybozu.help/k/ja/id/040486.html,3-7-5 アクション（アプリアクション）,3-7-5 アクション（アプリアクション）,3-7-5 アクション（アプリアクション）,3-7-5 アクション（アプリアクション）,2024年10月31日改定
3,26,2025/10/15 23:06,スペース,誤,A,,"スペースの作成に関する説明として、正しいものを1つ選びなさい。","スペースを「はじめから作る」場合、「スペースの参加/退会、スレッドのフォロー/フォロー解除を禁止する」を選択すると、スペースに参加していないユーザーに対して、スペースへの参加と、スレッドのフォローが禁止される。","ゲストスペースは、cybozu.com共通管理者のみが作成できる。","スペースにメンバーを追加するには、組織／グループを選択したあとに追加する必要がある。","スペースを作成する際、「おすすめから選ぶ」を選択して作成できる。",スペースを作成する,https://jp.cybozu.help/k/ja/id/040692.html,ゲストスペースを追加する,https://jp.cybozu.help/k/ja/id/040648.html,スペースを作成する,https://jp.cybozu.help/k/ja/id/040692.html,スペースを作成する,https://jp.cybozu.help/k/ja/id/040692.html,4-1-2 スペースの追加,4-3-2 ゲストスペースの追加,4-1-2 スペースの追加,4-1-2 スペースの追加,2024年10月31日改定
3,27,2025/10/15 23:06,スペース,誤,CD,,"スペースで宛先を指定してコメントを書き込む際の注意点として、正しいものをすべて選びなさい。","非公開スペースで宛先を指定してコメントを書き込むと、スペースに参加していなくても通知が送信される。","非公開スペースでは、「Everyone」グループを宛先に指定してコメントしても、スペースに参加中のユーザーには通知が送信されない。","公開スペースで宛先を指定してコメントを書き込むと、スペースをフォローしているかどうかにかかわらず、相手に通知が送信される。","スペースの宛先に組織やグループを指定する場合、指定した組織やグループをクリックして、「宛先になるユーザーを確認」をクリックすると、宛先になるユーザーが確認できる。",コメントの宛先を指定するには,https://jp.cybozu.help/k/ja/id/040291.html,コメントの宛先を指定するには,https://jp.cybozu.help/k/ja/id/040291.html,コメントの宛先を指定するには,https://jp.cybozu.help/k/ja/id/040291.html,コメントの宛先を指定するには,https://jp.cybozu.help/k/ja/id/040291.html,4-2-2 スレッド,4-2-2 スレッド,4-2-2 スレッド,4-2-2 スレッド,2024年10月31日改定
3,28,2025/10/15 23:06,スペース,誤,BC,,"スペーステンプレートの説明として、適切なものをすべて選びなさい。","ほかのドメインのkintoneで書き出したスペーステンプレートのファイルは、読み込めない。","kintoneシステム管理者は、作成済みのスペースをテンプレート化できる。","スペーステンプレートの管理画面で、編集ボタンをクリックすると、スペーステンプレートの名前と説明を編集できる。","作成したスペーステンプレートは、スペース管理画面で一覧表示できる。",スペーステンプレートの管理,https://jp.cybozu.help/k/ja/id/04074.html,スペーステンプレートの管理,https://jp.cybozu.help/k/ja/id/04074.html,スペーステンプレートの管理,https://jp.cybozu.help/k/ja/id/04074.html,スペーステンプレートの管理,https://jp.cybozu.help/k/ja/id/04074.html,5-3-3 スペースの管理,5-3-3 スペースの管理,5-3-3 スペースの管理,5-3-3 スペースの管理,2024年10月31日改定
3,29,2025/10/15 23:06,スペース,誤,ACD,,"スペースの設定変更に関する説明として、正しいものをすべて選びなさい。","「参加メンバーだけにこのスペースを公開する」機能を有効にすると、スペースの参加者以外のユーザーには、スペースが表示されない。","「スペースのポータルと複数のスレッドを使用する」機能は、有効から無効に設定できる。","「スペースの参加/退会、スレッドのフォロー/フォロー解除を禁止する」機能を有効にすると、スペースに未参加のユーザーに対して、スペースへの参加と、スレッドのフォローが禁止される。","「スペースの参加/退会、スレッドのフォロー/フォロー解除を禁止する」機能を有効にすると、スペースの参加メンバーに対して、スペースからの退会と、スレッドのフォローの解除が禁止される。",スペースの設定を変更する,https://jp.cybozu.help/k/ja/id/040696.html,スペースの設定を変更する,https://jp.cybozu.help/k/ja/id/040696.html,スペースの設定を変更する,https://jp.cybozu.help/k/ja/id/040696.html,スペースの設定を変更する,https://jp.cybozu.help/k/ja/id/040696.html,4-1-3 スペースの設定の変更,4-1-3 スペースの設定の変更,4-1-3 スペースの設定の変更,4-1-3 スペースの設定の変更,2024年10月31日改定
3,30,2025/10/15 23:06,スペース,誤,BCD,,"スペース内アプリの説明として、正しいものをすべて選びなさい。","スペース内アプリは、「Private」アプリグループに所属する。","非公開のスペースに所属するアプリには、スペースのメンバーだけがアクセスできる。","参加していないスペースのアプリは、kintoneのポータルの「すべてのアプリ」には表示されない。","初期設定では、そのスペースを閲覧可能でアプリの作成権限を持つユーザーであれば、スペース内アプリを作成できる。",スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,スペースごとに、アプリを作成できるユーザーを限定する,https://jp.cybozu.help/k/ja/id/040695.html,4-2-3 スペース内アプリ,4-2-3 スペース内アプリ,4-2-3 スペース内アプリ,4-2-3 スペース内アプリ,2024年10月31日改定
3,31,2025/10/15 23:06,管理者設定,誤,AB,,"「cybozu.com共通管理」→「グループ（ロール）」で設定できるグループの説明として、誤っているものをすべて選びなさい。","「静的グループ」と「動的グループ」の2つのタイプがあり、一度設定したタイプは途中で変更できる。","グループを削除すると、グループの所属ユーザーを一括で削除できる。","アクセス権の設定や、コメント、通知の宛先などに利用できる。","kintoneでグループを選択する際の表示順を変更できる。",グループ（ロール）の設定,https://jp.cybozu.help/general/ja/id/020170.html,グループ（ロール）の設定,https://jp.cybozu.help/general/ja/id/020170.html,グループ（ロール）の設定,https://jp.cybozu.help/general/ja/id/020170.html,グループ（ロール）の設定,https://jp.cybozu.help/general/ja/id/020170.html,5-1-5 グループ（ロール）と所属ユーザーの設定,5-1-5 グループ（ロール）と所属ユーザーの設定,5-1-5 グループ（ロール）と所属ユーザーの設定,5-1-5 グループ（ロール）と所属ユーザーの設定,2024年10月31日改定
