練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
1,21,2025/10/15 22:58,アプリ,誤,A,,"ファイルを読み込みレコードを一括更新する際の注意点として、誤っているものを1つ選びなさい。","「文字列（1行)」フィールドは、フィールドの設定に関わらず「一括更新のキーにするフィールド」に指定できる。","「一括更新のキー」にするフィールドは、複数のレコードで値が重複しないフィールドを指定する。","「一括更新のキー」に指定したフィールドと一致する値が、対応付けしたファイルの列にない場合、ファイルのその行のデータは新しいレコードとして登録される。","「ラベル」フィールドは「一括更新のキー」にするフィールドに指定できない。",ファイルからレコードのデータをアプリに読み込む,https://jp.cybozu.help/k/ja/id/040724.html,ファイルからレコードのデータをアプリに読み込む,https://jp.cybozu.help/k/ja/id/040724.html,ファイルからレコードのデータをアプリに読み込む,https://jp.cybozu.help/k/ja/id/040724.html,ファイルからレコードのデータをアプリに読み込む,https://jp.cybozu.help/k/ja/id/040724.html,1-6-2 ファイルからのレコード読み込み,1-6-2 ファイルからのレコード読み込み,1-6-2 ファイルからのレコード読み込み,1-6-2 ファイルからのレコード読み込み,2024年10月31日改定
1,22,2025/10/15 22:58,アプリ,誤,B,,"「添付ファイル」フィールドの説明として、適切でないものを1つ選びなさい。","Excel、Word、PDFファイルなど、ファイルの種類を問わず添付できる。","1つのフィールドに複数のファイルを添付することはできない。","画像ファイルを添付するとサムネイル（縮小画像）が表示される。","ファイルの添付を必須項目にするか否か選択できる。",添付ファイル,https://jp.cybozu.help/k/ja/id/040514.html,添付ファイル,https://jp.cybozu.help/k/ja/id/040514.html,添付ファイル,https://jp.cybozu.help/k/ja/id/040514.html,添付ファイル,https://jp.cybozu.help/k/ja/id/040514.html,2-2-7 添付ファイル,2-2-7 添付ファイル,2-2-7 添付ファイル,2-2-7 添付ファイル,2024年10月31日改定
1,23,2025/10/15 22:58,アプリ,誤,AC,,"テーブルに設定できるフィールドの種類として、適切でないものをすべて選びなさい。","レコード番号","リンク","関連レコード一覧","添付ファイル",テーブル,https://jp.cybozu.help/k/ja/id/040529.html,テーブル,https://jp.cybozu.help/k/ja/id/040529.html,テーブル,https://jp.cybozu.help/k/ja/id/040529.html,テーブル,https://jp.cybozu.help/k/ja/id/040529.html,2-3-2 テーブルを設定する,2-3-2 テーブルを設定する,2-3-2 テーブルを設定する,2-3-2 テーブルを設定する,2024年10月31日改定
1,24,2025/10/15 22:58,アプリ,誤,D,,"「申込日」という日付フィールドの値の30日後を表示したい。
計算フィールドに入力する日付の計算式として、正しいものを1つ選びなさい。","申込日+30","申込日+(24*30)","申込日+(60*24*30)","申込日+(60*60*24*30)",日付、時刻、日時の計算,https://jp.cybozu.help/k/ja/id/040502.html,日付、時刻、日時の計算,https://jp.cybozu.help/k/ja/id/040502.html,日付、時刻、日時の計算,https://jp.cybozu.help/k/ja/id/040502.html,日付、時刻、日時の計算,https://jp.cybozu.help/k/ja/id/040502.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
1,25,2025/10/15 22:58,アプリ,誤,AB,,"「アプリの設定」→「設定」タブ→「プロセス管理」で、作業者に複数人の部長を設定した。プロセス管理の設定の説明として、正しいものをすべて選びなさい。","作業者に「次のユーザーから作業者を選択」を設定すると、申請時に部長の1人を選択できる。","作業者に「次のユーザー全員」を設定すると、全員が作業者になり、全員がアクションを実行したときに次のステータスに進むようにできる。","作業者に「次のユーザーのうち1人」を設定すると、申請時に部長の1人を選択できる。","作業者に「次のユーザーがアクション」を設定すると、誰か1人がアクションを実行したときに次のステータスに進むようにできる。",プロセス管理の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040575.html,プロセス管理の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040575.html,プロセス管理の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040575.html,プロセス管理の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040575.html,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,2024年10月31日改定
1,26,2025/10/15 22:58,スペース,誤,BD,,"スペース内アプリの説明として、正しいものをすべて選びなさい。","ゲストスペースに作成したアプリの、所属するスペースをあとから変更できる。","スペース内にアプリを作成できるユーザーを、スペース管理者のみに限定できる。","スペース内アプリは、「Public」アプリグループに所属し、所属するアプリグループは変更できる。","非公開のスペースに所属するアプリには、スペースのメンバーだけがアクセスできる。",ゲストスペース,https://jp.cybozu.help/k/ja/id/040639.html,スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,スペース内アプリとは,https://jp.cybozu.help/k/ja/id/040709.html,4-3-1 ゲストスペースとは,4-1-3 スペースの設定の変更,4-2-3 スペース内アプリ,4-2-3 スペース内アプリ,2024年10月31日改定
1,27,2025/10/15 22:58,スペース,誤,ACD,,"「スレッドアクション」で、コピー元のデータ【ア】と、コピー先に指定できるフィールド【イ】の組み合わせとして、正しいものをすべて選びなさい。","【ア】：コメントの投稿日時
【イ】：「日時」フィールド、「日付」フィールド","【ア】：コメントの内容
【イ】：「文字列（1行）」フィールド、「文字列（複数行）」フィールド","【ア】：コメントのURL
【イ】：「リンク」フィールド（入力値の種類を「Webサイトのアドレス」にしている場合のみ）","【ア】：コメントの投稿者
【イ】：「ユーザー選択」フィールド",スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,4-2-2 スレッド,4-2-2 スレッド,4-2-2 スレッド,4-2-2 スレッド,2024年10月31日改定
1,28,2025/10/15 22:58,スペース,誤,AC,,"「スレッドアクション」の説明として、正しいものをすべて選びなさい。","スレッドのコメントやURLを、指定したアプリのレコードにコピーできる機能である。","スレッドのコメントの内容をコピー先に指定できるフィールドは、文字列（1行）と文字列（複数行）である。","kintoneシステム管理者は、スレッドアクションの管理画面から、作成済みのすべてのアクションを確認、設定変更、削除できる。","ゲストスペースでも、スレッドアクションを使用できる。",スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,スペースに参加／退会する,https://jp.cybozu.help/k/ja/id/040701.html,スレッドアクションでできること,https://jp.cybozu.help/k/ja/id/040710.html,4-2-2 スレッド,4-2-2 スレッド,5-3-3 スペースの管理,4-2-2 スレッド,2024年10月31日改定
1,29,2025/10/15 22:58,スペース,誤,A,,"ゲストスペースの追加に関する説明として、誤っているものを1つ選びなさい。","cybozu.com共通管理で、ゲストスペース機能を有効にする必要がある。","kintoneのシステム管理で、スペース機能とゲストスペース機能を有効にする必要がある。","kintoneのポータルで、「スペース」の「＋」から、「ゲストスペースを作成」をクリックし、ゲストスペースを追加できる。","kintoneのポータルで、右上の「…」から、「ゲストスペースを作成」をクリックし、ゲストスペースを追加できる。",ゲストスペースを追加する,https://jp.cybozu.help/k/ja/id/040648.html,ゲストスペースを追加する,https://jp.cybozu.help/k/ja/id/040648.html,ゲストスペースを追加する,https://jp.cybozu.help/k/ja/id/040648.html,ゲストスペースを追加する,https://jp.cybozu.help/k/ja/id/040648.html,5-3-7 その他の管理,5-3-7 その他の管理,4-3-2 ゲストスペースの追加,4-3-2 ゲストスペースの追加,2024年10月31日改定
1,30,2025/10/15 22:58,スペース,誤,ACD,,"スペースの参加／退会に関する説明として、誤っているものをすべて選びなさい。","1つのスレッドのみ使用するスペースでは、スペースの参加者であれば誰でも、スペース内の画面からスペースの参加者メンバーが確認できる。","スペースに参加する前にユーザー自身でフォローを解除したことがあるスレッドは、スペースに参加後、ユーザーが手動でフォローする必要がある。","スペースが公開スペースの場合、スペースを退会すると、ユーザー自身が手動でフォローしたことのあるスレッドは自動でフォローが解除される。","ユーザーが所属する組織／グループがメンバーとしてスペースに参加している場合でも、ユーザーごとの退会ができる。",スペースに参加／退会する,https://jp.cybozu.help/k/ja/id/040701.html,スペースに参加／退会する,https://jp.cybozu.help/k/ja/id/040701.html,スペースに参加／退会する,https://jp.cybozu.help/k/ja/id/040701.html,スペースに参加／退会する,https://jp.cybozu.help/k/ja/id/040701.html,4-2-4 ピープル,4-1-4 スペースへの参加と退会,4-1-4 スペースへの参加と退会,4-1-4 スペースへの参加と退会,2024年10月31日改定
1,31,2025/10/15 22:58,管理者設定,誤,BCD,,"cybozu.com共通管理で「組織の事前設定」を行う際の注意点として、誤っているものをすべて選びなさい。","事前設定の対象となるデータは、組織、役職、ユーザーの3種類である。","変更予定のデータをCSVファイルで読み込んで、一括更新できる。","事前設定で追加する組織に、新規ユーザーを追加できる。","事前設定では、ユーザーを削除できる。",組織の事前設定とは,https://jp.cybozu.help/general/ja/id/020185.html,組織の事前設定とは,https://jp.cybozu.help/general/ja/id/020185.html,組織の事前設定とは,https://jp.cybozu.help/general/ja/id/020185.html,組織の事前設定とは,https://jp.cybozu.help/general/ja/id/020185.html,5-1-8 組織の事前設定,5-1-8 組織の事前設定,5-1-8 組織の事前設定,5-1-8 組織の事前設定,2024年10月31日改定
